当座預金口座,返済期間,信用履歴,目的,借入金額,普通預金口座,雇用状況,性別など,保証人など,資産,年齢,その他借入,住居,仕事,電話番号,審査結果
0DM未満,6,要注意人物,ラジオ／テレビ,338,500～1000DM,勤続7年以上,男性／独身,なし,その他資産,52,なし,家主,正社員,,安全
口座なし,12,遅延なく返済中,ラジオ／テレビ,1963,100DM未満,勤続4年以上7年未満,男性／独身,なし,その他資産,31,なし,賃貸,管理者/役員,登録あり,安全
0DM未満,21,要注意人物,新車,571,100DM未満,勤続7年以上,男性／独身,なし,不動産,65,なし,家主,正社員,,安全
口座なし,36,遅延あり,仕事,9572,100DM未満,勤続１年未満,男性／離婚・別居,なし,その他資産,28,なし,家主,正社員,,リスクあり
200DM未満,36,遅延あり,仕事,4455,100DM未満,勤続1年以上4年未満,男性／離婚・別居,なし,不動産,30,消費者金融,家主,管理者/役員,登録あり,リスクあり
0DM未満,21,当銀行の返済金なし,新車,1647,口座なし,勤続1年以上4年未満,男性／独身,なし,生命保険など,40,なし,家主,パート/アルバイト,,リスクあり
口座なし,24,要注意人物,家具など,3777,1000DM以上,勤続1年以上4年未満,男性／独身,なし,不動産,50,なし,家主,正社員,登録あり,安全
200DM未満,18,要注意人物,新車,884,100DM未満,勤続7年以上,男性／独身,なし,その他資産,36,銀行,家主,正社員,登録あり,リスクあり
口座なし,15,要注意人物,ラジオ／テレビ,1360,100DM未満,勤続1年以上4年未満,男性／独身,なし,生命保険など,31,なし,家主,正社員,,安全
200DM未満,9,当銀行の返済金なし,中古車,5129,100DM未満,勤続7年以上,女性／離婚・別居・結婚,なし,なし,74,銀行,家族と同居,管理者/役員,登録あり,リスクあり
200DM未満,16,要注意人物,新車,1175,100DM未満,失業中,男性／独身,なし,その他資産,68,なし,家族と同居,無職,登録あり,安全
0DM未満,12,遅延なく返済中,ラジオ／テレビ,674,100～500DM,勤続4年以上7年未満,男性／既婚・未亡人,なし,生命保険など,20,なし,家主,正社員,,リスクあり
200DM未満,18,借金なし,家具など,3244,100DM未満,勤続1年以上4年未満,女性／離婚・別居・結婚,なし,その他資産,33,銀行,家主,正社員,登録あり,安全
口座なし,24,遅延なく返済中,仕事,4591,1000DM以上,勤続1年以上4年未満,男性／独身,なし,生命保険など,54,なし,家主,管理者/役員,登録あり,リスクあり
200DM未満,48,借金なし,仕事,3844,100～500DM,勤続4年以上7年未満,男性／独身,なし,なし,34,なし,家族と同居,パート/アルバイト,,リスクあり
200DM未満,27,遅延なく返済中,仕事,3915,100DM未満,勤続1年以上4年未満,男性／独身,なし,その他資産,36,なし,家主,正社員,登録あり,リスクあり
口座なし,6,遅延なく返済中,ラジオ／テレビ,2108,100DM未満,勤続4年以上7年未満,男性／既婚・未亡人,なし,不動産,29,なし,賃貸,正社員,,安全
200DM未満,45,遅延なく返済中,ラジオ／テレビ,3031,100～500DM,勤続1年以上4年未満,男性／独身,保証人,生命保険など,21,なし,賃貸,正社員,,リスクあり
200DM未満,9,要注意人物,教育,1501,100DM未満,勤続7年以上,女性／離婚・別居・結婚,なし,その他資産,34,なし,家主,管理者/役員,登録あり,リスクあり
口座なし,6,要注意人物,ラジオ／テレビ,1382,100DM未満,勤続1年以上4年未満,女性／離婚・別居・結婚,なし,その他資産,28,なし,家主,正社員,登録あり,安全
200DM未満,12,遅延なく返済中,家具など,951,100～500DM,勤続１年未満,女性／離婚・別居・結婚,なし,その他資産,27,銀行,賃貸,正社員,,リスクあり
200DM未満,24,遅延なく返済中,中古車,2760,口座なし,勤続7年以上,男性／独身,なし,なし,36,銀行,家族と同居,正社員,登録あり,安全
200DM未満,18,遅延あり,家具など,4297,100DM未満,勤続7年以上,男性／離婚・別居,なし,なし,40,なし,家主,管理者/役員,登録あり,リスクあり
口座なし,9,要注意人物,教育,936,500～1000DM,勤続7年以上,男性／独身,なし,その他資産,52,なし,家主,正社員,登録あり,安全
0DM未満,12,遅延なく返済中,新車,1168,100DM未満,勤続1年以上4年未満,男性／既婚・未亡人,なし,不動産,27,なし,家主,パート/アルバイト,,安全
口座なし,27,遅延あり,仕事,5117,100DM未満,勤続4年以上7年未満,男性／独身,なし,その他資産,26,なし,家主,正社員,,安全
0DM未満,12,遅延なく返済中,再教育,902,100DM未満,勤続4年以上7年未満,男性／既婚・未亡人,なし,生命保険など,21,なし,賃貸,正社員,,リスクあり
口座なし,12,要注意人物,新車,1495,100DM未満,勤続7年以上,男性／独身,なし,不動産,38,なし,家主,パート/アルバイト,,安全
0DM未満,30,要注意人物,中古車,10623,100DM未満,勤続7年以上,男性／独身,なし,なし,38,なし,家族と同居,管理者/役員,登録あり,安全
口座なし,12,要注意人物,家具など,1935,100DM未満,勤続7年以上,男性／独身,なし,不動産,43,なし,家主,正社員,登録あり,安全
200DM未満,12,要注意人物,家電,1424,100DM未満,勤続4年以上7年未満,男性／独身,なし,生命保険など,26,なし,家主,正社員,,安全
0DM未満,24,遅延なく返済中,仕事,6568,100DM未満,勤続1年以上4年未満,男性／既婚・未亡人,なし,その他資産,21,消費者金融,家主,パート/アルバイト,,安全
口座なし,12,遅延なく返済中,中古車,1413,1000DM以上,勤続4年以上7年未満,男性／独身,なし,生命保険など,55,なし,家主,正社員,,安全
口座なし,9,要注意人物,ラジオ／テレビ,3074,口座なし,勤続1年以上4年未満,男性／独身,なし,不動産,33,なし,家主,正社員,,安全
口座なし,36,遅延なく返済中,ラジオ／テレビ,3835,口座なし,勤続7年以上,女性／離婚・別居・結婚,なし,不動産,45,なし,家主,パート/アルバイト,登録あり,安全
0DM未満,27,借金なし,仕事,5293,100DM未満,失業中,男性／独身,なし,生命保険など,50,消費者金融,家主,正社員,登録あり,リスクあり
200DM以上または給与振込口座,30,遅延あり,仕事,1908,100DM未満,勤続7年以上,男性／独身,なし,不動産,66,なし,家主,管理者/役員,登録あり,リスクあり
口座なし,36,要注意人物,ラジオ／テレビ,3342,口座なし,勤続7年以上,男性／独身,なし,その他資産,51,なし,家主,正社員,登録あり,安全
200DM未満,6,要注意人物,再教育,932,口座なし,勤続4年以上7年未満,女性／離婚・別居・結婚,なし,生命保険など,39,なし,家主,パート/アルバイト,,安全
0DM未満,18,借金なし,仕事,3104,100DM未満,勤続4年以上7年未満,男性／独身,なし,生命保険など,31,銀行,家主,正社員,登録あり,安全
200DM以上または給与振込口座,36,遅延なく返済中,ラジオ／テレビ,3913,100DM未満,勤続1年以上4年未満,男性／独身,なし,不動産,23,なし,家主,正社員,登録あり,安全
0DM未満,24,遅延なく返済中,家具など,3021,100DM未満,勤続1年以上4年未満,男性／離婚・別居,なし,不動産,24,なし,賃貸,パート/アルバイト,,安全
口座なし,10,遅延なく返済中,新車,1364,100DM未満,勤続1年以上4年未満,女性／離婚・別居・結婚,なし,その他資産,64,なし,家主,正社員,登録あり,安全
200DM未満,12,遅延なく返済中,ラジオ／テレビ,625,100DM未満,勤続１年未満,男性／既婚・未亡人,保証人,不動産,26,銀行,家主,パート/アルバイト,,安全
0DM未満,12,遅延なく返済中,教育,1200,口座なし,勤続1年以上4年未満,女性／離婚・別居・結婚,なし,生命保険など,23,銀行,賃貸,正社員,登録あり,安全
口座なし,12,遅延なく返済中,ラジオ／テレビ,707,100DM未満,勤続1年以上4年未満,男性／独身,なし,不動産,30,銀行,家主,正社員,,安全
口座なし,24,遅延あり,仕事,2978,口座なし,勤続1年以上4年未満,男性／独身,なし,不動産,32,なし,家主,正社員,登録あり,安全
口座なし,15,遅延なく返済中,中古車,4657,100DM未満,勤続1年以上4年未満,男性／独身,なし,その他資産,30,なし,家主,正社員,登録あり,安全
口座なし,36,借金なし,修理,2613,100DM未満,勤続1年以上4年未満,男性／独身,なし,その他資産,27,なし,家主,正社員,,安全
200DM未満,48,遅延なく返済中,ラジオ／テレビ,10961,1000DM以上,勤続4年以上7年未満,男性／独身,連帯債務者,なし,27,銀行,家主,正社員,登録あり,リスクあり
0DM未満,12,遅延なく返済中,家具など,7865,100DM未満,勤続7年以上,男性／独身,なし,なし,53,なし,家族と同居,管理者/役員,登録あり,リスクあり
口座なし,9,遅延なく返済中,ラジオ／テレビ,1478,100DM未満,勤続4年以上7年未満,男性／独身,なし,その他資産,22,なし,家主,正社員,,リスクあり
0DM未満,24,遅延なく返済中,家具など,3149,100DM未満,勤続１年未満,男性／独身,なし,なし,22,銀行,家族と同居,正社員,,安全
200DM以上または給与振込口座,36,遅延なく返済中,ラジオ／テレビ,4210,100DM未満,勤続1年以上4年未満,男性／独身,なし,その他資産,26,なし,家主,正社員,,リスクあり
口座なし,9,遅延なく返済中,新車,2507,500～1000DM,勤続7年以上,男性／独身,なし,なし,51,なし,家族と同居,パート/アルバイト,,安全
口座なし,12,遅延なく返済中,ラジオ／テレビ,2141,100～500DM,勤続4年以上7年未満,男性／独身,なし,なし,35,なし,家主,正社員,,安全
200DM未満,18,遅延なく返済中,ラジオ／テレビ,866,100DM未満,勤続1年以上4年未満,男性／既婚・未亡人,保証人,不動産,25,なし,家主,パート/アルバイト,,安全
口座なし,4,要注意人物,ラジオ／テレビ,1544,100DM未満,勤続4年以上7年未満,男性／独身,なし,不動産,42,なし,家主,パート/アルバイト,,安全
0DM未満,24,遅延なく返済中,ラジオ／テレビ,1823,100DM未満,失業中,男性／独身,なし,その他資産,30,消費者金融,家主,管理者/役員,,リスクあり
200DM未満,6,遅延なく返済中,新車,14555,口座なし,失業中,男性／独身,なし,生命保険など,23,なし,家主,無職,登録あり,リスクあり
200DM未満,21,遅延なく返済中,仕事,2767,100～500DM,勤続7年以上,男性／離婚・別居,なし,その他資産,61,銀行,賃貸,パート/アルバイト,,リスクあり
口座なし,12,要注意人物,ラジオ／テレビ,1291,100DM未満,勤続1年以上4年未満,女性／離婚・別居・結婚,なし,生命保険など,35,なし,家主,正社員,,安全
0DM未満,30,遅延なく返済中,ラジオ／テレビ,2522,100DM未満,勤続7年以上,男性／独身,保証人,生命保険など,39,なし,家主,正社員,,安全
0DM未満,24,遅延なく返済中,新車,915,口座なし,勤続7年以上,女性／離婚・別居・結婚,なし,その他資産,29,銀行,家主,正社員,,リスクあり
口座なし,6,遅延なく返済中,ラジオ／テレビ,1595,100DM未満,勤続4年以上7年未満,男性／独身,なし,生命保険など,51,なし,家主,正社員,,安全
0DM未満,48,借金なし,中古車,4605,100DM未満,勤続7年以上,男性／独身,なし,なし,24,なし,家族と同居,正社員,,リスクあり
口座なし,12,要注意人物,仕事,1185,100DM未満,勤続1年以上4年未満,女性／離婚・別居・結婚,なし,不動産,27,なし,家主,正社員,,安全
口座なし,12,当銀行の返済金なし,再教育,3447,500～1000DM,勤続1年以上4年未満,女性／離婚・別居・結婚,なし,不動産,35,なし,家主,パート/アルバイト,,安全
口座なし,24,遅延なく返済中,仕事,1258,100DM未満,勤続4年以上7年未満,男性／独身,なし,不動産,25,なし,家主,正社員,登録あり,安全
口座なし,12,要注意人物,ラジオ／テレビ,717,100DM未満,勤続7年以上,男性／独身,なし,不動産,52,なし,家主,正社員,,安全
口座なし,6,借金なし,新車,1204,100～500DM,勤続1年以上4年未満,男性／独身,なし,なし,35,銀行,賃貸,正社員,,安全
200DM以上または給与振込口座,24,遅延なく返済中,家具など,1925,100DM未満,勤続1年以上4年未満,男性／独身,なし,不動産,26,なし,家主,正社員,,安全
